"filename", "language", "C++", "Markdown", "Ini", "XML", "comment", "blank", "total"
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/display_navigation.cpp", "C++", 82, 0, 0, 0, 21, 7, 110
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/eprom.cpp", "C++", 146, 0, 0, 0, 47, 40, 233
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/input_analog_control.cpp", "C++", 184, 0, 0, 0, 19, 54, 257
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/input_digital_control.cpp", "C++", 12, 0, 0, 0, 6, 11, 29
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/main.cpp", "C++", 205, 0, 0, 0, 38, 44, 287
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/mqtt_controll.cpp", "C++", 19, 0, 0, 0, 8, 18, 45
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/output_digital_control.cpp", "C++", 43, 0, 0, 0, 6, 10, 59
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/program.cpp", "C++", 12, 0, 0, 0, 6, 12, 30
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/sounds.cpp", "C++", 58, 0, 0, 0, 6, 10, 74
"/home/jcoli/develop/Platformio/projects/grow_1_zgt6/src/tools.cpp", "C++", 75, 0, 0, 0, 7, 8, 90
"Total", "-", 469, 2, 4, 0, 48, 98, 621
